spec,page,genspec,age.my,tooth,stat,plateno,length,width,um3hgt,lamfreq,enamthk,hypsoindex
8,40,E. iolensis,0.3,M2/,Stdev,,,,,,,
8,40,E. iolensis,0.3,M2/,N,,,,,,,
8,40,E. iolensis,0.3,M/2,Mean,12,215.9,74.4,147.7,5.2,2,194.4
8,40,E. iolensis,0.3,M/2,Stdev,,,10.7,15.6,0.8,0.5,20.6
8,40,E. iolensis,0.3,M/2,N,1,1,7,5,7,7,5
8,40,E. iolensis,0.3,M1/,Mean,,,,,,,
8,40,E. iolensis,0.3,M1/,Stdev,,,,,,,
8,40,E. iolensis,0.3,M1/,N,,,,,,,
8,40,E. iolensis,0.3,M/1,Mean,8,180.5,79,,4.8,2.3,298.6
8,40,E. iolensis,0.3,M/1,Stdev,,,,,,,
8,40,E. iolensis,0.3,M/1,N,2,2,2,,2,2,1
9,43,E. namadicus,0.6,M3/,Mean,14.3,271.3,84,175.5,5.7,2.4,212.4
9,43,E. namadicus,0.6,M3/,Stdev,1.5,28.4,10.8,27.9,1,0.4,48.5
9,43,E. namadicus,0.6,M3/,N,11,9,16,14,16,15,14
9,43,E. namadicus,0.6,M/3,Mean,15.2,293.4,75.1,144.8,5.6,2.6,198.1
9,43,E. namadicus,0.6,M/3,Stdev,1.6,37.5,10.1,11.4,0.8,0.5,46.7
9,43,E. namadicus,0.6,M/3,N,12,9,16,12,16,14,12
9,43,E. namadicus,0.6,M2/,Mean,,,,,,,
9,43,E. namadicus,0.6,M2/,Stdev,,,,,,,
9,43,E. namadicus,0.6,M2/,N,,,,,,,
9,43,E. namadicus,0.6,M/2,Mean,11.5,228.5,71.1,129.6,5.5,2.3,190.5
9,43,E. namadicus,0.6,M/2,Stdev,1.6,28.9,11.7,20.6,0.8,0.4,27.1
9,43,E. namadicus,0.6,M/2,N,16,13,21,8,21,20,8
9,43,E. namadicus,0.6,M1/,Mean,10.2,148.8,51.7,101.7,7.5,1.5,221.6
9,43,E. namadicus,0.6,M1/,Stdev,,,,,,,
9,43,E. namadicus,0.6,M1/,N,4,3,4,3,4,4,2
9,43,E. namadicus,0.6,M/1,Mean,10,155,46,115,7.2,1.7,230
9,43,E. namadicus,0.6,M/1,Stdev,,,,,,,
9,43,E. namadicus,0.6,M/1,N,3,3,3,1,3,3,1
10,45,E. planifrons,2.2,M3/,Mean,10,238.2,98.7,94.2,4.2,3.9,97.6
10,45,E. planifrons,2.2,M3/,Stdev,1.4,28.7,8.2,13.6,0.8,0.5,9.3
10,45,E. planifrons,2.2,M3/,N,14,14,14,14,17,17,13
10,45,E. planifrons,2.2,M/3,Mean,10.1,261.3,94,92.5,4.2,4,103.9
10,45,E. planifrons,2.2,M/3,Stdev,1.3,44.8,11.4,16.7,0.7,0.7,10.5
10,45,E. planifrons,2.2,M/3,N,17,15,21,11,24,24,8
10,45,E. planifrons,2.2,M2/,Mean,,,96,96,3.8,4.5,100
10,45,E. planifrons,2.2,M2/,Stdev,,,,,,,
10,45,E. planifrons,2.2,M2/,N,,,1,1,1,1,1
10,45,E. planifrons,2.2,M/2,Mean,9,,90.3,113.7,4.5,3.6,119.8
10,45,E. planifrons,2.2,M/2,Stdev,,,6.6,,0.6,0.4,
10,45,E. planifrons,2.2,M/2,N,1,,6,3,6,6,3
10,45,E. planifrons,2.2,M1/,Mean,7,158,75,70.5,4.7,3.4,94.5
10,45,E. planifrons,2.2,M1/,Stdev,,,,,,,
10,45,E. planifrons,2.2,M1/,N,4,4,4,4,4,3,4
10,45,E. planifrons,2.2,M/1,Mean,6.8,172.2,83.1,89,4.1,3.9,113.5
10,45,E. planifrons,2.2,M/1,Stdev,0.8,,5.2,,0.5,0.6,
10,45,E. planifrons,2.2,M/1,N,5,4,6,2,6,6,2
11,47,E. celebensis,1.5,M3/,Mean,8,147.8,55,53.2,6.2,3.9,99.5
11,47,E. celebensis,1.5,M3/,Stdev,,,,,,,
11,47,E. celebensis,1.5,M3/,N,2,2,4,4,4,2,4
11,47,E. celebensis,1.5,M/3,Mean,11,164,42.5,46.7,7.9,2.5,111
11,47,E. celebensis,1.5,M/3,Stdev,,,,,,,
11,47,E. celebensis,1.5,M/3,N,1,1,4,4,4,1,4
11,47,E. celebensis,1.5,M2/,Mean,9.5,132.5,43.2,42,7.7,3.2,110
11,47,E. celebensis,1.5,M2/,Stdev,,,,,,,
11,47,E. celebensis,1.5,M2/,N,2,2,4,3,4,4,2
11,47,E. celebensis,1.5,M/2,Mean,7,,56.8,37.2,6,2.8,
11,47,E. celebensis,1.5,M/2,Stdev,,,,,,,
11,47,E. celebensis,1.5,M/2,N,1,,2,2,2,2,
11,47,E. celebensis,1.5,M1/,Mean,,,,,,,
11,47,E. celebensis,1.5,M1/,Stdev,,,,,,,
11,47,E. celebensis,1.5,M1/,N,,,,,,,
11,47,E. celebensis,1.5,M/1,Mean,,,,,,,
11,47,E. celebensis,1.5,M/1,Stdev,,,,,,,
11,47,E. celebensis,1.5,M/1,N,,,,,,,
12,48,E. hysudricus,1.6,M3/,Mean,13.5,267.7,97.2,125.4,5.4,3.2,131.1
12,48,E. hysudricus,1.6,M3/,Stdev,,,5.1,11.4,1.2,0.9,14.9
12,48,E. hysudricus,1.6,M3/,N,4,4,6,5,6,5,5
12,48,E. hysudricus,1.6,M/3,Mean,13.7,304.6,91.7,135.1,5.1,2.6,149.3
12,48,E. hysudricus,1.6,M/3,Stdev,2,45.9,11.7,20.9,0.7,0.7,16.5
12,48,E. hysudricus,1.6,M/3,N,6,5,12,5,12,11,5
12,48,E. hysudricus,1.6,M2/,Mean,9,,92,,4.5,2.3,
12,48,E. hysudricus,1.6,M2/,Stdev,,,,,,,
12,48,E. hysudricus,1.6,M2/,N,1,,1,,1,1,
12,48,E. hysudricus,1.6,M/2,Mean,10,200.5,73.5,95.2,5.1,2.9,131.7
12,48,E. hysudricus,1.6,M/2,Stdev,,,,,,,
12,48,E. hysudricus,1.6,M/2,N,2,2,3,2,2,3,2
12,48,E. hysudricus,1.6,M1/,Mean,9,165.2,78,109.4,6.4,2.2,142.7
12,48,E. hysudricus,1.6,M1/,Stdev,,,,,,,
12,48,E. hysudricus,1.6,M1/,N,2,2,1,2,2,1,1
12,48,E. hysudricus,1.6,M/1,Mean,9.3,150.7,66.5,100,6.3,2.1,136.1
12,48,E. hysudricus,1.6,M/1,Stdev,,,,,1.3,0.7,
12,48,E. hysudricus,1.6,M/1,N,3,3,4,3,5,5,2
13,49,E. hysudrindicus,0.6,M3/,Mean,,,,,,,
13,49,E. hysudrindicus,0.6,M3/,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M3/,N,,,,,,,
13,49,E. hysudrindicus,0.6,M/3,Mean,18,304.9,77.4,138.8,6.5,2.6,179.9
13,49,E. hysudrindicus,0.6,M/3,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M/3,N,2,2,2,2,2,2,2
13,49,E. hysudrindicus,0.6,M2/,Mean,,,,,,,
13,49,E. hysudrindicus,0.6,M2/,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M2/,N,,,,,,,
13,49,E. hysudrindicus,0.6,M/2,Mean,,,,,,,
13,49,E. hysudrindicus,0.6,M/2,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M/2,N,,,,,,,
13,49,E. hysudrindicus,0.6,M1/,Mean,,,,,,,
13,49,E. hysudrindicus,0.6,M1/,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M1/,N,,,,,,,
13,49,E. hysudrindicus,0.6,M/1,Mean,,,,,,,
13,49,E. hysudrindicus,0.6,M/1,Stdev,,,,,,,
13,49,E. hysudrindicus,0.6,M/1,N,,,,,,,
14,52,M. subplanifrons,4.3,M3/,Mean,7.5,215.3,96.9,67.8,3.3,4,74.5
14,52,M. subplanifrons,4.3,M3/,Stdev,,,14.7,14.2,0.6,0.6,16.2
14,52,M. subplanifrons,4.3,M3/,N,4,3,7,7,7,5,6
14,52,M. subplanifrons,4.3,M/3,Mean,8.5,292,94.4,67.4,3.5,4.5,72.7
14,52,M. subplanifrons,4.3,M/3,Stdev,,,12.9,10.8,0.4,0.8,8.4
14,52,M. subplanifrons,4.3,M/3,N,2,2,11,9,10,9,9
14,52,M. subplanifrons,4.3,M2/,Mean,5,146.5,92,,3.5,4.4,
14,52,M. subplanifrons,4.3,M2/,Stdev,,,,,,,
14,52,M. subplanifrons,4.3,M2/,N,1,1,1,,1,1,
14,52,M. subplanifrons,4.3,M/2,Mean,6,85,68.1,45,4.7,5.2,66.5
14,52,M. subplanifrons,4.3,M/2,Stdev,,,,,,,
14,52,M. subplanifrons,4.3,M/2,N,1,1,2,3,2,2,2
14,52,M. subplanifrons,4.3,M1/,Mean,,,,,,,
14,52,M. subplanifrons,4.3,M1/,Stdev,,,,,,,
14,52,M. subplanifrons,4.3,M1/,N,,,,,,,
14,52,M. subplanifrons,4.3,M/1,Mean,,,,,,,
14,52,M. subplanifrons,4.3,M/1,Stdev,,,,,,,
14,52,M. subplanifrons,4.3,M/1,N,,,,,,,
15,55,M. africanavus,3,M3/,Mean,9,267.8,95.9,94.9,3.9,3.6,98.3
15,55,M. africanavus,3,M3/,Stdev,,,9.7,13,0.4,0.5,16.9
15,55,M. africanavus,3,M3/,N,1,1,7,6,7,7,6
15,55,M. africanavus,3,M/3,Mean,11,272.2,87.8,98.8,4.3,3.6,109.3
15,55,M. africanavus,3,M/3,Stdev,0.7,21.6,9,10.1,0.5,0.5,6.1
15,55,M. africanavus,3,M/3,N,5,4,13,9,13,11,9
