Strat_a,Strat_b,N,Mean,Mean.SE,V,V.SE,Strat.cm
7,20,12,61.6,1.5,8.7,1.8,13.5
21,25,12,82.8,1.5,6.2,1.3,23
26,28,23,85.0,1.9,10.6,1.6,27
29,39,32,78.2,0.9,6.4,0.8,34
40,45,16,84.9,1.4,6.6,1.2,42.5
46,50,9,88.5,3.4,11.6,2.8,48
56,78,19,105.8,3.7,15.4,2.5,67
79,90,8,109.3,3.1,7.9,2.0,84.5
91,120,15,114.7,2.2,7.5,1.4,105.5
121,135,9,119.0,3.0,7.5,1.8,128
136,160,9,95.6,2.2,7.2,1.7,148
161,200,11,96.3,2.4,8.2,1.8,180.5
201,240,5,94.8,2.9,6.8,2.2,220.5
241,260,12,93.7,2.1,7.6,1.6,250.5
261,300,7,95.7,3.2,0.0,2.4,280.5
301,320,5,85.2,4.0,10.5,3.3,310.5
321,340,14,91.0,2.0,8.3,1.6,330.5
341,360,7,97.9,3.7,10.0,2.7,350.5
361,380,7,93.7,2.1,5.9,1.6,370.5
381,440,6,102.0,2.8,6.7,1.9,410.5
441,460,12,99.8,3.1,10.9,2.2,450.5
461,500,6,113.2,4.5,9.7,2.8,480.5
501,520,19,110.9,3.6,14.2,2.3,510.5
521,530,20,101.8,2.0,9.0,1.4,525.5
531,539,13,106.1,2.5,8.4,1.6,535
540,540,38,112.8,1.9,10.3,1.2,540
541,559,10,112.7,2.5,7.1,1.6,550
560,560,27,128,1.5,6.0,0.8,560
561,680,15,126.7,3.5,10.6,1.9,620.5
681,690,13,130.4,2.2,6.2,1.2,685.5
691,759,13,117.7,4.4,12.4,2.4,725
760,780,16,131.2,3.3,10.0,1.8,770
781,792,8,144.1,4.5,8.8,2.2,786.5
793,793,31,146.6,2.0,7.5,1.0,793
794,854,6,129.2,10.3,19.5,5.6,824
855,855,23,129.1,2.0,7.3,1.1,855
856,864,21,124.8,3.1,11.3,1.7,860
865,865,33,127.1,2.5,11.1,1.4,865
866,880,7,140.9,9.2,17.4,4.6,873
881,894,7,132.4,6.4,12.3,3.4,887.5
895,895,9,117.1,3.7,9.6,2.3,895
896,920,15,123.9,3.0,9.4,1.7,908
961,980,11,113.2,2.4,7.1,1.5,970.5
981,990,12,109.0,2.7,8.6,1.7,985.5
1080,1093,22,115.0,2.2,7.3,1.3,1086.5
1094,1120,14,121.7,4.0,12.3,2.3,1107
1121,1135,21,120.8,2.9,11.0,1.7,1128
1270,1310,23,123.4,3.2,12.4,1.8,1290
