Genus,Locality,Species?,Lm1l,Lm1w,LnLxWM1,Radinsky?,Schankler?,ClydeADE,Age (Ma)
Hyopsodus,36,8,5.2,4.1,3.060,1340,2080,,-53.664
Hyopsodus,36,8,5.1,3.8,2.964,1340,2080,,-53.664
Hyopsodus,16,8,5.4,4.3,3.145,1380,2160,,-53.620
Hyopsodus,16,8,5.4,4.3,3.145,1380,2160,,-53.620
Hyopsodus,16,8,5.9,4.7,3.323,1380,2160,,-53.620
Hyopsodus,16,8,5.5,4.2,3.140,1380,2160,,-53.620
Hyopsodus,16,8,5.6,4.5,3.227,1380,2160,,-53.620
Hyopsodus,16,8,5.5,4.2,3.140,1380,2160,,-53.620
Hyopsodus,16,8,5.4,4.2,3.121,1380,2160,,-53.620
Hyopsodus,16,8,5.5,4.6,3.231,1380,2160,,-53.620
Hyopsodus,16,8,5.5,4.3,3.163,1380,2160,,-53.620
Hyopsodus,16,8,5.1,4.1,3.040,1380,2160,,-53.620
Hyopsodus,16,8,5.6,4.4,3.204,1380,2160,,-53.620
Hyopsodus,9,8,5.5,4.6,3.231,1380,2180,,-53.620
Hyopsodus,1,8,5.1,4.1,3.040,1400,2260,,-53.598
Hyopsodus,3,9,4.8,3.8,2.904,1480,2340,,-53.510
Hyopsodus,3,9,,,2.738,1480,,,-53.510
