Section ID,Section Depth T (cm),Section Depth B (cm),Corrected mblf T,Age cal yr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
GLAD2-LT01-2B-3H-1,80,82,4.03,19897.21,39.39,21.74,26.59,42.64,31.55,26.68,33.89,18.4,23.11,21.13,39.54,20.06,15.37,17.67,29.21,16.2,22.64,34.52,19.42,24.15,26.79,28.74,40.27,25.74,17.63,40.36,49.44,20.12,33.04,41.38,39,18.76,36.49,36.85,31.17,30.27,28.81,32.98,36.13,15.66,29.36,17.41,33.09,36.96,31.35,23.58,19.32,38.25,24.52,
GLAD2-LT01-2B-3H-1,100,102,4.23,20758.61,45.7,15.31,17.5,39.07,18.95,29.58,15.92,37.41,42.46,14.5,22.17,23.26,24.48,38.31,39.78,14.53,21.04,20.94,43.09,24.16,29.66,33.84,9.59,19.96,18.91,10.61,13.61,17.9,17.13,14.07,14.37,15.54,32.27,9.89,16,16.73,26.84,37.88,17.49,52.01,12.45,21.85,36.97,28.54,37.39,15.57,13.21,29.74,11.04,20.62
GLAD2-LT01-2B-3H-1,140,142,4.63,21430.45,32.16,14.66,34.67,17.68,21.17,23.38,11.86,12.34,15.2,46.88,18.5,17.02,22.18,17.69,35.68,8.36,18.27,16.61,24.73,15.58,24.51,17.08,19.72,14.83,27.04,20.59,38.19,15.27,22.52,17.65,16.69,24.35,26.7,22.48,29.16,15.92,16.9,25.66,17.95,45.17,30.4,27.43,16.71,21.34,30.36,,,,,
GLAD2-LT01-2B-3H-2,0,2,4.735,21495.025,21.23,39.91,39.85,13.78,40.87,26.77,23.36,16.66,31.42,39.55,40.55,47.74,32.68,41.87,15.04,32.26,21.73,33.74,40.1,41.22,34.08,33.72,35.19,29.16,44.13,35.76,34.22,20.55,17.69,42.48,49,17.24,43.02,32.51,37.51,34.72,39.95,28.69,39.78,39.31,43.23,38.96,29.83,38.59,,,,,,
GLAD2-LT01-2B-3H-2,20,22,4.935,21618.025,33.93,23.8,11.28,19.65,17.62,25.07,13.75,14.95,20.41,22.76,35.72,17.2,15.77,25.7,26.32,15.21,22.89,22.29,16.14,17.89,29.15,50.17,18.25,13.57,20.93,26.22,17.24,14.7,28.99,17.34,21.37,15.89,13.56,13.49,19.16,15,12.42,14.65,14.64,20.42,34.9,28.27,15,17.43,39.04,40.77,17.41,22.13,,
GLAD2-LT01-2B-3H-2,100,102,5.735,22110.025,12.67,40.31,19.4,30.14,41.73,25.13,37.73,52.01,31.37,25.06,39.8,35.69,39.34,17.88,35.47,18.52,12.57,24.48,38.78,33.24,48.42,38.89,32.61,13.52,38.24,24.29,41.47,11.89,19.28,23.26,31.56,18.15,40.26,30.95,42.37,18.65,39.55,14.18,41.34,45.48,17.35,17.92,18.63,33.44,15.52,18.03,36.39,43.42,,
GLAD2-LT01-2B-3H-2,120,122,5.935,22233.025,15.17,18.37,18.1,20.64,24.98,21.6,13.88,16.98,38.81,32.14,32.21,15.39,43.1,31.35,16.48,31.24,20.09,36.7,40.63,23.31,31.49,33.37,25.29,30.61,31.32,11.16,18.99,29.98,19.04,18.64,17.26,11.91,14.37,32.98,34.16,19.25,13.48,18.09,37.26,24.7,31.99,35.78,19.8,12.81,26.18,20.01,20.43,30.68,19.4,
GLAD2-LT01-2B-4H-1,0,2,6.23,22414.45,23.03,27.32,17.36,46.68,26.44,22.46,16.51,16.77,11.9,15.17,14.35,34.29,40.71,21.65,15.57,23.27,14.22,39.86,39.42,22.31,20.29,18.23,16.65,37.17,21.24,25.08,24.73,18.9,52.44,13.54,19.86,24.9,36.18,36.09,20.96,32.83,23.21,15.05,12.51,17.45,39.48,29.03,19.57,16.31,32.34,32.5,16.44,26.5,,
GLAD2-LT01-2B-6H-1,100,102,13.23,26719.45,48.76,26.38,32.22,32.17,36.05,29.25,39.48,40.1,16.53,45.88,27.49,44.57,18.91,17,26.54,66.16,53.57,25.1,51.17,17.73,21.25,32.32,42.69,20.44,33.82,14.83,18.95,57.74,31.35,34.91,30.16,33.51,27.6,16.16,32.94,21.7,46.79,39.31,36.84,25.61,23.95,13.33,19.27,22.77,52.9,29.49,16,15.97,54.16,15.22
GLAD2-LT01-2B-6H-1,120,122,13.43,26842.45,13.8,20.35,14.84,21.94,24.15,22.29,21.7,24.56,26.83,34.5,33.49,29.34,32.84,20.49,25.55,29.55,31.03,45.18,21.91,20.58,20.92,22.19,37.18,22.11,47.63,19.53,24.66,16.25,19.64,30.84,21.43,42.62,36.41,27.04,41.99,34.12,31.25,15.56,20.01,47.57,32.62,30.31,37.67,17.16,46.47,14.64,20.21,22.32,15.98,26.39
