Dep_m,Age_Ma,Xcham,Vcham,Xconi,Vconi,Xround,Vround,Xaphgt,Vaphgt,Xapwid,Vapwid,Mapsh,Msize,Vsize
97.1,4.36,3.9,4.5,,,53.5,24.8,38.5,24.7,74.7,24.1,0.515,215.2,13.1
99.8,4.41,3.84,6.3,,,50.4,25,38.2,25.4,74.8,24.2,0.51,215,11.1
101.6,4.45,3.9,5.4,,,57.4,25.1,39,21.4,74.8,26.8,0.522,218.5,13.3
103.6,4.48,4.01,5.5,,,50.3,27.8,38.5,33.1,79.5,28.1,0.484,225.2,16.4
108.1,4.57,3.96,4.8,,,55.4,31.7,38.8,23.2,78.4,19.4,0.494,219.8,11.1
111.1,4.62,3.87,4.9,,,54.4,24.7,38.8,30.3,78.4,26.7,0.495,226.5,15.1
113.8,4.67,3.89,5.7,,,56.8,25.4,40.1,26.1,78.6,22.7,0.51,220.2,13.8
117.28,4.74,4.01,6,,,65.9,27.1,41.5,29.3,84.8,31.9,0.49,229.9,13.6
121.78,4.82,3.96,7.2,,,48,24.9,32.9,25.3,74.8,26,0.44,211.4,10.2
124.4,4.87,3.91,5.8,,,47.5,23.5,35.7,23,80.2,29.1,0.444,221.3,12.3
125.9,4.9,3.98,6.1,,,40.6,28.3,32.5,22.3,75.8,24.9,0.429,212.8,13.8
127.4,4.92,3.95,7.2,,,42.8,25.2,30.4,23.8,70.8,24.8,0.43,215.3,11.9
128.3,4.94,3.9,5.1,,,42,23.4,28,21.6,63.4,18.9,0.442,223.5,12.3
128.9,4.95,3.95,4.6,,,43.7,33.3,29.9,26.9,69.2,23.7,0.438,234.5,12.3
130.4,4.98,3.96,5.9,,,43,25.2,30.6,26.8,72.3,33.6,0.423,238.8,16.1
133.28,5.03,3.96,5.5,70.5,12.6,41.4,39.5,30.4,34.5,70.6,35.3,0.431,250.9,19.4
134.8,5.06,3.92,6.5,,,38.1,30.3,30.3,22.9,63.4,23.4,0.477,227.7,14.3
136.3,5.09,4.06,6.2,68.5,7.2,32,44.6,29.8,25.4,69.7,23.1,0.427,233.3,13.4
136.9,5.1,3.94,4.8,67,10.8,31.4,46.3,31,23.7,67.1,30,0.462,238.1,14.6
139.9,5.15,4.01,6.8,66.4,11,29.8,57.9,28,27,69.9,30,0.401,242.2,15.5
140.78,5.17,4.06,5.9,68.5,13.9,37.7,40.6,27.8,27.1,64.5,20.9,0.431,229.7,13.8
144.3,5.24,4.19,6.8,68.9,10.9,21.3,58.9,29.5,27.3,78.7,36.4,0.374,265,23.9
144.9,5.25,4.1,5.7,65.6,10,23.7,41.5,28.6,27.7,68.7,29.5,0.416,247.8,18
146.4,5.27,4.28,6,66.4,9.3,26.6,48.3,31.2,34,89,30.9,0.351,278.8,18
147.9,5.3,4.31,5.5,64.5,10,23.7,49,28.3,19.3,72.1,26.6,0.393,249.8,16.3
150.3,5.42,4.25,6.3,62.3,10,28.9,63.6,24.7,29.9,77.8,34.5,0.317,276.5,20.9
152.28,5.63,4.3,5.8,62.5,7.6,26.7,39.7,20.1,32.2,74.1,36.1,0.271,263,19.3
153.8,5.8,4.27,4.3,60.3,9.2,31.3,45.5,25.3,31.5,84.2,23.5,0.3,304,15.4
154.4,5.86,4.37,4.9,61.7,8.9,26.2,37.4,23.3,31.7,70.8,27,0.33,250.1,15
155.9,6.02,4.33,5,61,12.3,28.6,38.4,21.9,33.4,73.7,30.3,0.297,265.7,17.4
157.4,6.18,4.14,5.4,60.7,9.8,28.9,35.6,19.8,40.3,68.3,32.8,0.291,254.3,19.4
