No,Spec.,Species,Kimura et al (2013b),Age,Time Slice,Locality,Tooth,Length,Width,VanDam1997,RatioAnterostyle,Angle(anterostyle),Angle(enterostyle),1X,1Y,2X,2Y,3X,3Y,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y,10X,10Y,11X,11Y,12X,12Y,13X,13Y,UniX,UniY
127,7664,Karnimata darwini,,9.23,Time 4,182,M1/,2.080,1.310,1.094,0.660,44.000,71.000,-0.002,-0.001,0.000,0.002,0.001,-0.001,-0.003,0.001,0.000,-0.005,0.002,-0.002,0.007,0.003,0.000,0.000,-0.004,0.008,-0.025,-0.004,0.020,-0.015,0.047,0.009,-0.004,-0.011,-0.015,0.022
128,7666,Karnimata darwini,,9.23,Time 4,182,M1/,2.390,1.450,1.173,0.644,43.000,69.000,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.007,0.004,0.000,0.001,0.005,-0.004,-0.003,0.001,-0.005,-0.008,-0.003,-0.014,0.002,-0.004,0.000,-0.008,0.020,0.017,-0.009,-0.013,0.015
129,7667,Karnimata darwini,,9.23,Time 4,182,M1/,1.980,1.320,1.119,0.604,58.000,70.000,-0.002,-0.002,-0.001,0.000,-0.001,-0.003,-0.003,-0.004,0.001,-0.002,0.002,0.005,0.002,0.004,-0.002,-0.005,-0.002,-0.001,-0.009,-0.005,-0.001,0.007,-0.015,-0.013,0.002,0.010,0.007,0.012
130,7670,Karnimata darwini,,9.23,Time 4,182,M1/,2.290,1.420,1.099,0.533,48.000,70.000,0.001,0.001,0.000,0.000,0.001,0.002,0.002,0.004,0.002,-0.004,0.000,-0.001,0.000,-0.001,0.005,-0.002,-0.002,-0.001,-0.002,0.000,0.011,0.009,-0.016,0.002,-0.027,0.007,-0.017,0.010
131,7675,Karnimata darwini,,9.23,Time 4,182,M1/,2.160,1.360,1.119,0.481,41.000,83.000,0.000,0.000,0.000,0.000,0.001,-0.002,0.000,0.001,-0.001,0.002,0.001,0.000,-0.001,0.001,0.004,0.005,0.002,0.006,0.017,-0.001,-0.008,0.005,-0.014,-0.024,-0.027,0.007,0.009,0.004
132,7683,Karnimata darwini,,9.23,Time 4,182,M1/,2.340,1.490,1.112,0.606,42.000,59.000,-0.001,0.000,0.002,0.002,0.001,-0.001,-0.004,-0.002,-0.002,0.001,0.004,0.006,0.006,0.007,-0.004,0.002,0.006,-0.005,-0.024,-0.011,0.019,-0.011,0.040,0.007,0.024,-0.002,0.001,0.027
133,7690,Karnimata darwini,,9.23,Time 4,182,M1/,2.270,1.390,1.103,0.602,51.000,78.000,-0.002,-0.003,0.003,0.003,0.001,0.002,-0.004,0.005,0.002,-0.004,-0.001,-0.002,0.005,0.005,0.001,0.000,-0.010,0.000,-0.020,-0.017,0.018,0.003,0.018,0.014,0.004,0.011,-0.016,0.031
134,7691,Karnimata darwini,,9.23,Time 4,182,M1/,2.160,1.390,1.123,0.560,43.000,71.000,0.001,0.001,0.000,-0.001,-0.001,-0.001,0.001,-0.004,0.001,0.004,0.003,0.002,-0.002,-0.003,0.001,0.001,-0.012,0.003,-0.011,0.001,0.006,0.004,-0.012,-0.009,-0.015,0.012,0.008,-0.004
135,7692,Karnimata darwini,,9.23,Time 4,182,M1/,2.160,1.380,1.139,0.489,43.000,74.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.001,-0.001,-0.001,-0.001,-0.004,0.000,0.002,0.005,0.008,-0.007,0.004,-0.017,-0.005,-0.001,-0.005,-0.003,0.008,-0.003,0.017,-0.002,-0.001
136,7693,Karnimata darwini,,9.23,Time 4,182,M1/,2.280,1.470,1.112,0.669,52.000,62.000,-0.003,-0.004,-0.001,0.000,-0.001,-0.001,-0.002,0.000,0.003,-0.005,-0.002,-0.001,0.001,-0.001,-0.003,-0.003,-0.010,0.005,-0.011,0.003,0.001,-0.003,0.004,-0.001,0.013,0.004,0.002,-0.002
137,7695,Karnimata darwini,,9.23,Time 4,182,M1/,2.080,1.330,1.124,0.553,41.000,74.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.002,0.000,0.003,0.001,0.000,-0.001,-0.002,0.004,0.009,-0.007,0.002,-0.014,-0.008,-0.006,-0.012,0.009,0.000,-0.010,0.007,0.008,-0.007
138,7696,Karnimata darwini,,9.23,Time 4,182,M1/,2.220,1.370,1.144,0.541,43.000,76.000,0.002,0.002,-0.002,-0.001,0.001,0.000,0.003,0.005,0.003,0.003,0.000,0.000,-0.006,-0.009,0.004,-0.005,-0.010,0.000,-0.008,0.006,-0.012,-0.007,0.000,0.000,-0.007,0.015,0.003,0.005
139,7698,Karnimata darwini,,9.23,Time 4,182,M1/,2.210,1.380,1.080,0.560,44.000,79.000,-0.001,-0.001,0.001,0.001,0.001,0.000,-0.002,0.002,0.000,0.000,0.000,0.001,0.001,0.005,-0.001,0.002,0.000,0.004,0.004,0.010,-0.003,-0.001,0.016,-0.007,-0.011,0.003,0.012,0.006
140,7701,Karnimata darwini,,9.23,Time 4,182,M1/,2.150,1.390,1.123,0.647,45.000,74.000,-0.002,-0.002,0.000,0.000,0.000,0.000,-0.001,0.001,0.004,0.002,0.002,0.001,0.000,-0.001,-0.002,-0.006,-0.016,0.003,0.002,0.001,0.010,0.008,0.007,-0.018,-0.014,0.011,-0.004,0.004
141,7706,Karnimata darwini,,9.23,Time 4,182,M1/,2.130,1.380,1.139,0.511,47.000,87.000,-0.002,-0.003,0.001,-0.001,-0.003,-0.001,-0.004,-0.008,0.002,-0.003,0.001,0.003,0.001,0.004,-0.003,-0.011,-0.014,0.001,-0.008,-0.008,-0.009,0.005,-0.022,-0.003,-0.016,0.019,0.025,0.002
142,7710,Karnimata darwini,,9.23,Time 4,182,M1/,2.390,1.460,1.063,0.549,54.000,66.000,-0.001,-0.001,0.003,0.002,0.000,0.002,-0.003,-0.004,0.000,-0.001,0.002,0.000,0.004,0.003,-0.003,-0.005,-0.001,0.006,-0.008,0.000,0.007,-0.002,-0.001,-0.007,0.001,0.012,0.001,0.025
143,7711,Karnimata darwini,,9.23,Time 4,182,M1/,2.100,1.340,1.079,0.447,49.000,82.000,-0.003,-0.003,0.001,0.002,0.000,0.000,-0.003,-0.004,0.001,-0.003,0.002,0.004,0.006,-0.003,-0.008,0.003,0.008,0.004,-0.012,0.000,0.010,-0.006,0.005,-0.023,-0.003,-0.002,0.021,0.032
144,7714,Karnimata darwini,,9.23,Time 4,182,M1/,2.140,1.410,1.123,0.515,40.000,74.000,-0.001,-0.002,0.000,0.000,-0.001,0.000,0.001,0.000,0.002,0.001,0.005,0.003,-0.001,-0.005,0.002,0.000,-0.007,0.012,0.010,-0.002,0.014,0.008,-0.024,0.001,-0.026,0.010,0.003,-0.019
145,7716,Karnimata darwini,,9.23,Time 4,182,M1/,2.310,1.410,1.085,0.487,43.000,69.000,0.000,-0.001,-0.001,-0.002,-0.001,0.000,0.003,0.004,0.001,0.000,0.003,0.000,-0.005,-0.006,0.007,0.002,-0.017,0.011,0.007,-0.013,0.011,-0.001,0.011,0.002,-0.028,-0.008,-0.040,-0.008
146,7717,Karnimata darwini,Karnimata sp.,9.23,Time 4,182,M1/,2.630,1.590,1.147,0.604,66.000,68.000,0.000,0.000,0.000,0.001,0.000,-0.001,-0.003,0.000,0.001,-0.006,0.000,0.002,0.002,0.004,0.003,-0.004,-0.006,0.000,-0.023,-0.016,-0.010,-0.013,0.014,-0.009,-0.005,0.007,0.005,0.028
147,7720,Karnimata darwini,,9.23,Time 4,182,M1/,2.240,1.400,1.128,0.593,56.000,67.000,0.001,0.001,0.003,0.001,0.001,0.003,0.000,0.002,0.000,0.002,0.000,-0.001,-0.001,-0.001,0.004,0.008,-0.006,0.000,-0.008,-0.009,-0.002,0.003,0.007,-0.019,-0.022,0.007,0.002,0.006
148,7723,Karnimata darwini,,9.23,Time 4,182,M1/,2.060,1.350,1.124,0.556,55.000,69.000,-0.001,-0.001,-0.001,0.002,0.002,-0.001,0.000,0.007,0.002,-0.004,0.003,0.005,0.002,-0.002,0.002,-0.001,0.001,0.010,-0.011,0.009,0.012,-0.006,0.008,-0.017,-0.005,-0.016,0.009,0.000
149,7729,Karnimata darwini,,9.23,Time 4,182,M1/,2.050,1.390,1.165,0.590,64.000,71.000,-0.001,-0.002,-0.001,0.001,0.000,0.000,-0.001,0.004,0.003,-0.005,0.001,0.007,0.000,-0.007,-0.002,-0.007,0.000,0.003,-0.021,-0.008,-0.002,-0.001,0.023,0.018,0.021,-0.012,0.003,0.013
150,7730,Karnimata darwini,,9.23,Time 4,182,M1/,2.110,1.370,1.113,0.524,51.000,62.000,-0.003,-0.002,0.002,0.000,-0.003,0.001,-0.002,-0.003,0.000,-0.001,0.004,0.003,0.004,0.000,-0.005,0.000,-0.007,0.005,-0.009,-0.006,0.029,-0.017,0.039,0.000,-0.003,-0.009,0.007,0.017
151,7732,Karnimata darwini,,9.23,Time 4,182,M1/,2.150,1.340,1.109,0.536,42.000,76.000,-0.003,-0.002,-0.001,0.001,0.001,-0.002,-0.002,0.001,0.001,-0.003,-0.004,-0.004,0.004,0.000,-0.004,0.003,0.009,-0.003,0.002,-0.008,-0.011,0.002,0.017,0.007,-0.008,0.000,0.006,0.000
152,7733,Karnimata darwini,,9.23,Time 4,182,M1/,2.250,1.420,1.158,0.560,46.000,78.000,-0.001,0.000,0.000,0.000,-0.001,0.000,-0.003,-0.009,0.001,0.001,0.000,-0.003,0.005,0.000,-0.008,-0.003,-0.012,-0.008,-0.020,-0.012,0.005,-0.013,0.020,-0.003,-0.009,0.006,-0.005,0.018
153,7737,Karnimata darwini,,9.23,Time 4,182,M1/,2.190,1.320,1.109,0.532,40.000,79.000,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.003,0.006,0.003,0.000,-0.008,0.003,-0.002,-0.004,0.013,0.003,-0.001,0.020,0.001,-0.001,-0.018,-0.034,0.005,-0.024,0.021
154,7746,Karnimata darwini,,9.23,Time 4,182,M1/,2.020,1.290,1.147,0.597,49.000,67.000,0.000,-0.001,0.002,0.000,-0.002,0.001,-0.003,-0.007,0.001,0.000,0.003,0.003,0.002,0.004,-0.002,-0.008,-0.012,0.009,-0.014,-0.003,-0.001,0.000,0.005,0.001,-0.022,0.002,0.001,0.005
155,7682,Karnimata sp.,Parapodemus sp.,9.23,,182,M1/,2.410,1.410,1.113,0.526,45.000,66.000,0.001,0.000,0.001,-0.001,0.000,0.004,0.001,0.005,-0.001,-0.003,-0.004,-0.001,-0.005,-0.001,0.002,-0.001,0.001,0.004,0.000,-0.003,-0.021,0.014,0.012,0.023,0.036,-0.008,-0.032,-0.024
156,7734,Karnimata sp.,Parapodemus sp.,9.23,,182,M1/,2.520,1.460,1.137,0.668,60.000,70.000,-0.001,-0.002,0.001,-0.001,0.000,0.002,-0.002,0.001,0.001,0.003,-0.004,-0.001,-0.002,0.001,-0.005,-0.007,-0.009,-0.003,-0.008,-0.004,-0.022,0.008,0.035,0.034,0.043,-0.040,-0.022,-0.025
