Loc.,Mst.mean,Mst.cv,Keep
AUST,17.27,0.032,Keep
BANC,17.74,0.032,Keep
BAST,17.42,0.032,Keep
BISH,17.33,0.032,Keep
BTRG,16.08,0.032,Keep
DETR,16.88,0.032,Keep
EDMN,17.31,0.032,Keep
GAIN,17.17,0.032,Keep
GOVE,17.34,0.032,Keep
HOUS,17.22,0.032,Keep
JOSE,16.06,0.032,Keep
LA,17.31,0.032,Keep
LAWR,17.47,0.032,Keep
MEXC,17.25,0.032,
MONT,17.43,0.032,Keep
NMEX,17.31,0.032,Keep
OAHU,16.90,0.032,
OAKL,16.71,0.032,Keep
OAXC,16.03,0.032,
PHNX,17.17,0.032,Keep
PROG,17.59,0.032,Keep
SACR,16.07,0.032,Keep
SALI,17.34,0.032,Keep
SISS,17.64,0.032,Keep
SLC,17.46,0.032,Keep
STJO,17.12,0.032,Keep
STOK,17.19,0.032,Keep
TAMP,17.11,0.032,Keep
TOPO,17.45,0.032,
TOPU,17.36,0.032,
UDAL,17.38,0.032,Keep
VANC,17.18,0.032,Keep
WKAN,17.59,0.032,Keep
