Loc.,Mst.mean,Mst.cv,Keep
AUST,22.62,0.032,Keep
BANC,23.21,0.032,Keep
BAST,22.53,0.032,Keep
BISH,22.86,0.032,Keep
BTRG,22.53,0.032,Keep
DETR,22.54,0.032,Keep
EDMN,23.18,0.032,Keep
GAIN,22.43,0.032,Keep
GOVE,22.91,0.032,Keep
HOUS,22.43,0.032,Keep
JOSE,22.07,0.032,Keep
LA,22.78,0.032,Keep
LAWR,23.11,0.032,Keep
MEXC,22.71,0.032,
MONT,23.05,0.032,Keep
NMEX,22.56,0.032,Keep
OAHU,22.41,0.032,
OAKL,22.04,0.032,Keep
OAXC,22.4,0.032,
PHNX,22.75,0.032,Keep
PROG,22.49,0.032,Keep
SACR,22.52,0.032,Keep
SALI,23.06,0.032,Keep
SISS,23.21,0.032,Keep
SLC,22.47,0.032,Keep
STJO,22.93,0.032,Keep
STOK,22.67,0.032,Keep
TAMP,22.54,0.032,Keep
TOPK,23.03,0.032,Keep
TOPK,22.92,0.032,
UDAL,23.13,0.032,Keep
VANC,22.98,0.032,Keep
WKAN,23.04,0.032,Keep
