Loc.,Mst.mean,Mst.cv,Keep
AUST,29.83,0.032,Keep
BANC,30.62,0.032,Keep
BAST,29.76,0.032,Keep
BISH,30.04,0.032,Keep
BTRG,29.96,0.032,Keep
DETR,29.60,0.032,Keep
EDMN,29.88,0.032,Keep
GAIN,29.76,0.032,Keep
GOVE,30.12,0.032,Keep
HOUS,29.77,0.032,Keep
JOSE,29.60,0.032,Keep
LA,29.71,0.032,Keep
LAWR,30.09,0.032,Keep
MEXC,29.60,0.032,
MONT,30.32,0.032,Keep
NMEX,29.75,0.032,Keep
OAHU,29.53,0.032,
OAKL,29.19,0.032,Keep
OAXC,29.63,0.032,
PHNX,29.81,0.032,Keep
PROG,30.01,0.032,Keep
SACR,29.52,0.032,Keep
SALI,30.10,0.032,Keep
SISS,30.35,0.032,Keep
SLC,30.06,0.032,Keep
STJO,30.23,0.032,Keep
STOK,29.87,0.032,Keep
TAMP,29.99,0.032,Keep
TOPO,30.36,0.032,
TOPU,30.29,0.032,
UDAL,30.23,0.032,Keep
VANC,29.72,0.032,Keep
WKAN,30.23,0.032,Keep
