Loc.,Mst.mean,Mst.cv,Keep
AUST,17.27,0.032,Keep
BANC,17.63,0.032,Keep
BAST,17.14,0.032,Keep
BISH,17.18,0.032,Keep
BTRG,17.08,0.032,Keep
EDMN,17.23,0.032,Keep
GAIN,17.25,0.032,Keep
GOVE,17.26,0.032,Keep
HOUS,17.14,0.032,Keep
JOSE,17.00,0.032,Keep
LA,17.05,0.032,Keep
LAWR,17.33,0.032,Keep
MEXC,17.00,0.032,
MONT,17.38,0.032,Keep
NMEX,17.04,0.032,Keep
OAKL,16.87,0.032,Keep
OAXC,17.02,0.032,
PROG,17.31,0.032,Keep
SACR,17.06,0.032,Keep
SALI,17.19,0.032,Keep
SISS,17.45,0.032,Keep
SLC,17.01,0.032,Keep
TAMP,17.24,0.032,Keep
TOPO,17.41,0.032,
TOPU,17.17,0.032,
UDAL,17.39,0.032,Keep
VANC,17.21,0.032,Keep
WKAN,17.37,0.032,Keep
